,id,dist,baseh,basemu,basemed,basestd,scaledh,scaledmu,scaledmed,scaledstd,taille,bins,e_base,e_scale
303,norm_480_0_400.0,norm,3.9684501903314335,-0.014014214602927507,0.004513154061988988,0.3951590908214796,8.902457251057031,0.5235971133422128,0.5322536127347275,0.18462926341613767,480,21,0.9034980417742279,2.026824656362147
304,norm_480_0_500.0,norm,3.9003789851309367,0.0005133815857058854,0.018798895458277252,0.5051347571485294,8.901722433785297,0.5670237963028477,0.5733897614098673,0.1758588935897464,480,21,0.8880002535571294,2.026657360331144
305,norm_480_0_600.0,norm,3.774297104751033,-0.005445434075912294,-0.0363119128440641,0.6215638232714628,8.904830150445529,0.44443308322031666,0.4364738011278766,0.160277492130968,480,21,0.8592951604948572,2.0273648949560585
306,norm_480_0_700.0,norm,3.8899582941426156,0.04431014133174723,0.04219249957236215,0.7423494191218926,8.903304315994532,0.49622149882164707,0.49571925174983766,0.17606510655590007,480,21,0.8856277722482243,2.02701750784713
307,norm_480_0_800.0,norm,3.8511868404309966,-0.02105417199306036,0.011361163318733864,0.769522430359677,8.901901940089259,0.5691417875847589,0.5763347711527131,0.1707575178077933,480,21,0.8768006657393576,2.02669822857601
308,norm_480_0_900.0,norm,3.8620637526741195,0.017469835968021936,0.020926424512522794,0.8628795596520639,8.902922995389046,0.5196762231546529,0.5203669602178389,0.1724309634323087,480,21,0.8792770150548043,2.026930692490046
309,norm_480_0_1000.0,norm,3.7528649997231858,0.03368636866106104,0.07928620575182749,0.9680913536778568,8.904695855963823,0.4541735596634228,0.461638002339814,0.15847123314617204,480,21,0.8544157078130681,2.02733432009801
310,norm_480_1_100.0,norm,3.6039525664139087,1.0007993743837391,1.0043386421482183,0.09900833674899412,8.905159761445478,0.4718167727702937,0.4768480783004898,0.1407469638833676,480,21,0.8205127770874765,2.0274399375743903
311,norm_480_1_200.0,norm,3.8015002776266273,0.9984171491766388,0.9891010281418586,0.18970880403732246,8.903984206571518,0.4805200182130365,0.4724889496294367,0.16354064212438282,480,21,0.86548851362879,2.027172298703879
312,norm_480_1_300.0,norm,3.90328613557821,1.017799985809224,1.0098888979854332,0.29820200276796105,8.903217039088696,0.5029004843378095,0.49827997349053094,0.17416638762699402,480,21,0.8886621252224596,2.026997637492273
313,norm_480_1_400.0,norm,3.911653416927914,1.0121262680497558,1.010171794680069,0.4036358744618562,8.903263659966326,0.4984356895350084,0.497573599384191,0.17803799084042982,480,21,0.8905671062482641,2.027008251679077
314,norm_480_1_500.0,norm,3.691742185460633,1.0238265867190044,0.9973369676189948,0.5072160754847652,8.904001116572408,0.5132315120824836,0.5053480076690113,0.15095121430669362,480,21,0.840499861488855,2.027176148607987
315,norm_480_1_600.0,norm,3.7630331266782604,1.0145954202545768,1.039671418696078,0.6120274110661749,8.903529259449709,0.5290490959404371,0.5357007389195467,0.1623459915798722,480,21,0.8567306878057122,2.027068720779513
316,norm_480_1_700.0,norm,3.8451137357563665,0.9705938004685234,0.9996521386584546,0.6931049071631135,8.90419465885607,0.4423694505977596,0.4495830425093038,0.1720599409189851,480,21,0.8754180004877219,2.027220212427842
317,norm_480_1_800.0,norm,3.8728057430104657,0.9648383139839396,0.9442981596707067,0.7927165698309415,8.903156398129868,0.5088257752397676,0.5043498515804521,0.17274158684152754,480,21,0.8817226466661805,2.026983831350095
318,norm_480_1_900.0,norm,3.762692746854443,1.0839153915531505,1.062947495027967,0.9245285250104608,8.903308206800958,0.5373060995373027,0.5337112621817997,0.15850563140390037,480,21,0.8566531934465722,2.0270183936679964
