,id,dist,baseh,basemu,basemed,basestd,scaledh,scaledmu,scaledmed,scaledstd,taille
77,uni30_1_800.0,uni,4.886784676522292,0.9816680482082909,1.024697840007323,0.46356272555667216,4.838571205268751,0.5173004198250658,0.5463094691522838,0.3125163615650019,30
78,uni30_1_900.0,uni,4.871140512727277,1.1296284493218054,1.2814934274375112,0.5546594214711384,4.878751829427987,0.5723604927880913,0.6581933197779251,0.3134889080558193,30
79,uni30_1_1000.0,uni,4.9020907051814975,1.0503834881891891,0.9874819384656297,0.6550735893568138,4.8988913989440315,0.5423037326465592,0.5093829774079404,0.34284556411210204,30
80,uni30_2_100.0,uni,4.823457689070099,1.998738839982782,2.006992696397978,0.048427636682981764,2.75786653361218e-19,0.48845160773507346,0.5322663617737033,0.2570731647367307,30
81,uni30_2_420.0,uni,4.873524622831266,1.939513833721685,1.9858214781784205,0.24562561274733075,0.3906167189105021,0.4042655963760532,0.4616321289930805,0.30428431181404353,30
82,uni30_2_740.0,uni,4.866599660081977,2.1098021296977674,2.217623512471678,0.40682228487173594,3.0759527239574633,0.558320309365486,0.6380016982760742,0.3006469019816968,30
83,uni30_2_1070.0,uni,4.8792428965721335,1.9328707442151176,1.849811442808737,0.6214759295907119,3.959193194910965,0.47668414103898626,0.4357570956341016,0.3062290816046762,30
84,uni30_2_1390.0,uni,4.886549457280857,2.1565039193553583,2.2209160038958244,0.7977988519789324,4.6168714386019145,0.5590197090502544,0.5833780203458501,0.30169855433824744,30
85,uni30_2_1710.0,uni,4.8718482745268865,2.13514659309523,2.118682914697369,0.9608841672383491,4.799488493982725,0.5399008708612144,0.5350734532945267,0.28174682451772487,30
86,uni30_2_2029.9999999999998,uni,4.851784164633541,1.806815719413253,1.6256752771781469,1.0961563583953273,4.87681495995597,0.44810125899015224,0.4020202841552569,0.2788551962391973,30
87,uni30_2_2360.0,uni,4.868612060994193,1.789504371630214,1.5868962406042906,1.2741402301484328,4.895299627401783,0.4682556801393976,0.4229299407101566,0.2850396367391184,30
88,uni30_2_2680.0,uni,4.853630671599079,1.5016264201744856,1.1728369721702552,1.462632432381754,4.906375641411784,0.3893625367851476,0.3192027411478538,0.31210853380872927,30
89,uni30_2_3000.0,uni,4.85461877351758,1.9677794317955535,2.1215498852050936,1.4106934283769603,4.900677122572213,0.5432173490591092,0.5719483412543082,0.26357873688888017,30
90,uni30_3_100.0,uni,4.8235826504611765,3.0065283996421326,3.000991814610884,0.04858580300322804,,0.5573633753217437,0.5279431733311837,0.2581743313181331,30
